Startup Name,Industry,Business Description,Company Website,Number of Presenters,Pitchers Average Age,Started in,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Deal Valuation,Has Patents
SoupX,Food,Soup based meals,https://www.soupx.in/,2,Young,,Delhi,-1,,45,,75,6,1250,1,1,50,18,25,277.7777778,
ATMOSPHERE,Food,Varieties of kombucha,https://atmospherestudio.in/,2,Young,,Delhi,,,,,75,3,2500,1,0,,,,,
Stage,Entertainment,Web series and movies in Indian languages,https://www.stage.in/,3,Young,,,,,,,300,1,30000,1,1,150,0.6,150,25000,
Girgit,Beauty/Fashion,color-changing clothing products ,https://www.girgitstore.com/,2,Young,,,,,,,20,10,200,1,1,20,20,,100,
GearHeadMotors,Vehicles/Electrical Vehicles,Electric vehicles bikes,https://www.ghmev.com/,2,Young,,Telangana,,,,,75,2,3750,1,1,100,6.67,,1499.250375,
PatilKaki,Food,Homemade snacks,https://patilkaki.com/,3,Young,,,,,,,40,2.5,1600,1,1,40,4,,1000,
Brandsdaddy,Manufacturing,Auto Fire Extinguisher,https://www.brandsdaddy.com/,2,Middle,,Maharashtra,,12,60,,70,5,1400,1,1,35,5,35,700,
Winston,Beauty/Fashion,Techno beauty products at home,https://winstonindia.com/,2,Middle,,Haryana,,46,,,100,4,2500,1,1,100,10,,1000,
Flatheads,Beauty/Fashion,Shoes Sneakers Loafers,https://www.flatheads.in/,1,Middle,2019,Karnataka,-1,,,,75,3,2500,1,0,,,,,
OrganicSmokes,Beauty/Fashion,Organic Cigarettes Cigarillos Smokes,https://www.meaame.com/,3,Middle,,Delhi,,40,,,100,1,10000,0,,,,,,
TeaFit,Liquor/Beverages,Refreshing beverages ,http://tea.fit/,3,Young,,Maharashtra,,,,,50,3,1666.666667,1,1,50,8,,625,
Haqdarshak,Services,Platform to know about welfare schemes for MSMEs,https://haqdarshak.com/,2,Middle,,Himachal Pradesh,,,,,100,0.5,20000,1,1,100,2,,5000,
Bhaskar'sPuranpoliGhar,Food,Varieties of Puranpoli snacks,http://bhaskarspuranpolighar.in/,3,Middle,,Maharashtra,,,,,75,1,7500,0,,,,,,
GunjanAppsStudios,Technology/Software,CHILDREN'S PLAYFUL LEARNING PARTNER,https://gunjanappstudios.com/,2,Middle,,West Bengal,2400,,,,250,1,25000,0,,,,,,
TheSimplySalad,Food,Freshly chopped salads,https://simplysalad.com/,2,Young,,Gujarat,,,,,30,10,300,1,1,30,10,,300,
AyuSynk,Medical/Health,Digital Stethoscopes,https://www.ayudevices.com/,3,Middle,,,,,,,100,1.5,6666.666667,1,1,50,3.5,50,1428.571429,
AtypicalAdvantage,Technology/Software,Platform for persons with disabilities,https://atypicaladvantage.in/,1,Middle,,Jharkhand,,,,,30,1,3000,1,1,30,3,,1000,
HouseOfChikankari,Beauty/Fashion,HANDMADE BY ARTISANS OF LUCKNOW,https://www.houseofchikankari.in/,2,Middle,2020,Delhi,,,,,75,1,7500,1,1,75,3.75,,2000,
MagicOfMemories,Beauty/Fashion,DNA Jewllery,https://www.themagicofmemories.com/,1,Middle,,Delhi,,,,,25,5,500,0,,,,,,
Paradyes,Beauty/Fashion,Semi Permanent Hair Color,https://www.birdsofparadyes.com/,2,Young,2020,Gujarat,350,,,,65,1,6500,1,1,65,2,,3250,
Nestroots,Furnishing/Household,"House of design, aesthetics and elegance",https://www.nestroots.com/,1,Middle,,Delhi,,,,,50,1,5000,1,1,50,2,,2500,
Zillionaire,Beauty/Fashion,Unique styles of stones and jewels,https://zillionaireindia.com/,2,Young,,Rajasthan,100,,,,50,3.3,1515.151515,1,1,100,10,,1000,
Credmate,Technology/Software,Platform for credit score,https://credmate.in/,2,Middle,,Punjab,,130,,,50,5,1000,0,,,,,,
Freebowler,Sports,Non-Electric & Portable Bowling Machines,https://freebowler.com/,2,Middle,,Karnataka,,,,,75,7.5,1000,1,1,25,7.5,50,333.3333333,
ABCSports&Fitness,Sports,Sports training institute,https://www.abcfitnessfirm.com/,2,Middle,,Maharashtra,,,,,40,2,2000,1,1,40,10,,400,
Primebook,Technology/Software,Android Apps on Windows laptops,https://www.primebook.in/,4,Middle,,,,,,,75,1.5,5000,1,1,75,3,,2500,
DailyDump,Manufacturing,Compost Bins,https://www.dailydump.org/,2,Middle,2006,Karnataka,,,,,80,4,2000,1,1,30,4,50,750,
GharSoaps,Beauty/Fashion,Pure Organic Soaps,https://www.gharsoaps.shop/,2,Middle,,,,,,,60,2,3000,1,1,60,4,,1500,
Janitri,Medical/Health,Pregnancy Monitoring systems,https://www.janitri.in/,1,Middle,2021,Rajasthan,,,,,100,2.5,4000,1,1,100,2.5,,4000,
JaipurWatchCompany,Manufacturing,Made in India Imperial Automatic Watches,https://jaipur.watch/,1,Middle,,Rajasthan,,,75,,50,2,2500,0,,,,,,
InsideFPV,Manufacturing,Plug and Fly Drones,https://www.insidefpv.com/,3,Young,,Gujarat,,,,,75,4,1875,1,1,75,15,,500,
